scope,cluster_id,algorithmic_medoid,selected_representative,representative_feature
final,270,ECFP_1093,ECFP_1093,ECFP_1093
final,271,ECFP_1094,ECFP_1094,ECFP_1094
final,272,ECFP_1095,ECFP_1095,ECFP_1095
final,273,ECFP_1096,ECFP_1096,ECFP_1096
final,274,ECFP_1097,ECFP_1097,ECFP_1097
final,275,ECFP_1098,ECFP_1098,ECFP_1098
final,276,ECFP_1099,ECFP_1099,ECFP_1099
final,277,ECFP_11,ECFP_11,ECFP_11
final,278,ECFP_110,ECFP_110,ECFP_110
final,279,ECFP_1100,ECFP_1100,ECFP_1100
final,280,ECFP_1101,ECFP_1101,ECFP_1101
final,281,ECFP_1102,ECFP_1102,ECFP_1102
final,282,ECFP_1103,ECFP_1103,ECFP_1103
final,283,ECFP_1104,ECFP_1104,ECFP_1104
final,284,ECFP_1105,ECFP_1105,ECFP_1105
final,285,ECFP_1106,ECFP_1106,ECFP_1106
final,286,ECFP_1107,ECFP_1107,ECFP_1107
final,287,ECFP_1108,ECFP_1108,ECFP_1108
final,288,ECFP_1109,ECFP_1109,ECFP_1109
final,289,ECFP_111,ECFP_111,ECFP_111
final,290,ECFP_1110,ECFP_1110,ECFP_1110
final,291,ECFP_1842,ECFP_1842,ECFP_1842
final,292,ECFP_1112,ECFP_1112,ECFP_1112
final,293,ECFP_1113,ECFP_1113,ECFP_1113
final,294,ECFP_1114,ECFP_1114,ECFP_1114
final,295,ECFP_1115,ECFP_1115,ECFP_1115
final,296,ECFP_1116,ECFP_1116,ECFP_1116
final,297,ECFP_1118,ECFP_1118,ECFP_1118
final,298,ECFP_1119,ECFP_1119,ECFP_1119
final,299,ECFP_112,ECFP_112,ECFP_112
final,300,ECFP_1120,ECFP_1120,ECFP_1120
final,301,ECFP_1121,ECFP_1121,ECFP_1121
final,302,ECFP_137,ECFP_137,ECFP_137
final,303,ECFP_1123,ECFP_1123,ECFP_1123
final,304,ECFP_1124,ECFP_1124,ECFP_1124
final,305,ECFP_1125,ECFP_1125,ECFP_1125
final,306,ECFP_1126,ECFP_1126,ECFP_1126
final,307,ECFP_1127,ECFP_1127,ECFP_1127
final,308,ECFP_1128,ECFP_1128,ECFP_1128
final,309,ECFP_1129,ECFP_1129,ECFP_1129
final,310,ECFP_113,ECFP_113,ECFP_113
final,311,ECFP_1130,ECFP_1130,ECFP_1130
final,312,ECFP_1132,ECFP_1132,ECFP_1132
final,313,ECFP_1133,ECFP_1133,ECFP_1133
final,314,ECFP_1134,ECFP_1134,ECFP_1134
final,315,ECFP_1135,ECFP_1135,ECFP_1135
final,316,ECFP_1136,ECFP_1136,ECFP_1136
final,317,ECFP_1138,ECFP_1138,ECFP_1138
final,318,ECFP_1139,ECFP_1139,ECFP_1139
final,319,ECFP_114,ECFP_114,ECFP_114
final,320,ECFP_1140,ECFP_1140,ECFP_1140
final,321,ECFP_1141,ECFP_1141,ECFP_1141
final,322,ECFP_1142,ECFP_1142,ECFP_1142
final,323,ECFP_1143,ECFP_1143,ECFP_1143
final,324,ECFP_1144,ECFP_1144,ECFP_1144
final,325,ECFP_1145,ECFP_1145,ECFP_1145
